實驗ID,時間區間,多方損益,多方MDD估算,多方勝率估算,多方交易次數,參數,備註
32,08:46-09:30,2119.9,1705.8,73.9%,59,25(10%)/45(10%)/45(20%),MDD/勝率為估算值
30,08:46-09:30,1985.8,1565.0,74.7%,59,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
10,08:46-09:30,1899.8,1119.8,72.2%,59,15(10%)/45(10%)/45(20%),MDD/勝率為估算值
24,08:46-09:30,1899.7,1276.0,78.2%,57,25(10%)/30(10%)/45(20%),MDD/勝率為估算值
21,08:46-09:30,1887.8,1366.7,72.2%,59,20(10%)/45(10%)/45(20%),MDD/勝率為估算值
33,08:46-09:30,1877.3,1873.7,71.4%,59,25(10%)/45(10%)/50(20%),MDD/勝率為估算值
29,08:46-09:30,1856.2,1138.2,77.3%,59,25(10%)/40(10%)/40(20%),MDD/勝率為估算值
8,08:46-09:30,1785.5,1096.8,72.2%,59,15(10%)/40(10%)/45(20%),MDD/勝率為估算值
23,08:46-09:30,1770.1,978.5,79.6%,57,25(10%)/30(10%)/40(20%),MDD/勝率為估算值
19,08:46-09:30,1768.1,1235.9,73.1%,59,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
31,08:46-09:30,1743.2,1575.6,72.8%,59,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
25,08:46-09:30,1694.7,1266.6,76.7%,56,25(10%)/30(10%)/50(20%),MDD/勝率為估算值
7,08:46-09:30,1655.9,752.6,75.6%,59,15(10%)/40(10%)/40(20%),MDD/勝率為估算值
13,08:46-09:30,1651.3,869.5,76.0%,58,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
22,08:46-09:30,1645.2,1521.7,69.7%,59,20(10%)/45(10%)/50(20%),MDD/勝率為估算值
18,08:46-09:30,1638.5,883.6,75.6%,59,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
2,08:46-09:30,1614.9,734.7,74.8%,58,15(10%)/30(10%)/45(20%),MDD/勝率為估算值
27,08:46-09:30,1563.7,1048.0,77.0%,59,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
11,08:46-09:30,1553.2,1202.3,68.9%,59,15(10%)/45(10%)/50(20%),MDD/勝率為估算值
20,08:46-09:30,1525.5,1254.1,71.1%,59,20(10%)/40(10%)/50(20%),MDD/勝率為估算值
12,08:46-09:30,1521.7,619.9,71.4%,58,20(10%)/30(10%)/40(20%),MDD/勝率為估算值
1,08:46-09:30,1485.3,515.9,71.1%,58,15(10%)/30(10%)/40(20%),MDD/勝率為估算值
9,08:46-09:30,1438.9,1089.8,69.4%,59,15(10%)/40(10%)/50(20%),MDD/勝率為估算值
26,08:46-09:30,1434.1,766.6,71.8%,59,25(10%)/35(10%)/40(20%),MDD/勝率為估算值
14,08:46-09:30,1404.9,840.1,73.9%,58,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
5,08:46-09:30,1367.0,714.3,67.9%,59,15(10%)/35(10%)/45(20%),MDD/勝率為估算值
28,08:46-09:30,1358.7,1009.5,75.6%,58,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
16,08:46-09:30,1346.0,788.3,68.7%,59,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
3,08:46-09:30,1280.9,637.5,65.4%,58,15(10%)/30(10%)/50(20%),MDD/勝率為估算值
4,08:46-09:30,1237.4,468.2,71.0%,59,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
15,08:46-09:30,1216.4,549.9,71.0%,59,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
17,08:46-09:30,1099.6,764.3,66.9%,59,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
6,08:46-09:30,1033.0,634.9,65.4%,59,15(10%)/35(10%)/50(20%),MDD/勝率為估算值
