實驗ID,時間區間,空方損益,空方MDD估算,空方勝率估算,空方交易次數,參數,備註
4,08:46-09:30,1474.4,557.8,71.0%,72,15(10%)/35(10%)/40(20%),MDD/勝率為估算值
1,08:46-09:30,1362.3,473.1,71.1%,70,15(10%)/30(10%)/40(20%),MDD/勝率為估算值
15,08:46-09:30,1360.8,615.1,71.0%,72,20(10%)/35(10%)/40(20%),MDD/勝率為估算值
26,08:46-09:30,1213.0,648.4,71.8%,72,25(10%)/35(10%)/40(20%),MDD/勝率為估算值
12,08:46-09:30,1200.6,489.1,71.4%,68,20(10%)/30(10%)/40(20%),MDD/勝率為估算值
6,08:46-09:30,1135.8,698.1,65.4%,71,15(10%)/35(10%)/50(20%),MDD/勝率為估算值
3,08:46-09:30,1035.7,515.5,65.4%,69,15(10%)/30(10%)/50(20%),MDD/勝率為估算值
17,08:46-09:30,1031.0,716.7,66.9%,71,20(10%)/35(10%)/50(20%),MDD/勝率為估算值
5,08:46-09:30,1019.4,532.7,67.9%,72,15(10%)/35(10%)/45(20%),MDD/勝率為估算值
7,08:46-09:30,927.1,421.4,61.8%,72,15(10%)/40(10%)/40(20%),MDD/勝率為估算值
2,08:46-09:30,919.3,418.3,61.2%,70,15(10%)/30(10%)/45(20%),MDD/勝率為估算值
16,08:46-09:30,914.6,535.7,68.7%,72,20(10%)/35(10%)/45(20%),MDD/勝率為估算值
23,08:46-09:30,901.7,498.5,65.1%,66,25(10%)/30(10%)/40(20%),MDD/勝率為估算值
28,08:46-09:30,901.2,669.5,61.9%,70,25(10%)/35(10%)/50(20%),MDD/勝率為估算值
14,08:46-09:30,882.8,527.9,60.5%,67,20(10%)/30(10%)/50(20%),MDD/勝率為估算值
18,08:46-09:30,866.6,467.4,61.8%,72,20(10%)/40(10%)/40(20%),MDD/勝率為估算值
27,08:46-09:30,784.8,526.0,63.0%,71,25(10%)/35(10%)/45(20%),MDD/勝率為估算值
13,08:46-09:30,766.4,403.5,62.1%,68,20(10%)/30(10%)/45(20%),MDD/勝率為估算值
29,08:46-09:30,738.5,477.3,63.2%,72,25(10%)/40(10%)/40(20%),MDD/勝率為估算值
25,08:46-09:30,648.1,525.3,62.8%,63,25(10%)/30(10%)/50(20%),MDD/勝率為估算值
9,08:46-09:30,575.9,457.8,56.8%,71,15(10%)/40(10%)/50(20%),MDD/勝率為估算值
24,08:46-09:30,538.9,491.4,64.0%,64,25(10%)/30(10%)/45(20%),MDD/勝率為估算值
20,08:46-09:30,524.2,505.5,58.2%,71,20(10%)/40(10%)/50(20%),MDD/勝率為估算值
11,08:46-09:30,480.1,472.2,56.3%,72,15(10%)/45(10%)/50(20%),MDD/勝率為估算值
8,08:46-09:30,459.5,413.7,59.1%,72,15(10%)/40(10%)/45(20%),MDD/勝率為估算值
10,08:46-09:30,446.5,414.9,59.1%,72,15(10%)/45(10%)/45(20%),MDD/勝率為估算值
19,08:46-09:30,407.8,456.3,59.8%,72,20(10%)/40(10%)/45(20%),MDD/勝率為估算值
31,08:46-09:30,351.1,567.9,59.5%,71,25(10%)/40(10%)/50(20%),MDD/勝率為估算值
22,08:46-09:30,332.3,548.7,57.0%,72,20(10%)/45(10%)/50(20%),MDD/勝率為估算值
21,08:46-09:30,298.7,474.9,59.1%,72,20(10%)/45(10%)/45(20%),MDD/勝率為估算值
30,08:46-09:30,234.7,525.0,61.1%,72,25(10%)/40(10%)/45(20%),MDD/勝率為估算值
33,08:46-09:30,155.6,608.7,58.4%,72,25(10%)/45(10%)/50(20%),MDD/勝率為估算值
32,08:46-09:30,122.0,541.2,60.5%,72,25(10%)/45(10%)/45(20%),MDD/勝率為估算值
