,trade_date,direction,entry_price,entry_time,range_high,range_low,total_pnl,total_lots,num_events
0,2024-07-08,LONG,23553.0,08:59:00,23552.0,23513.0,423.0,3,21
1,2024-07-09,SHORT,23923.0,08:48:00,23954.0,23926.0,-153.0,3,18
2,2024-07-10,LONG,23815.0,08:49:00,23811.0,23749.0,-156.0,3,10
3,2024-07-11,SHORT,24203.0,09:04:00,24265.0,24201.0,-104.0,3,12
4,2024-07-12,SHORT,24022.0,08:51:00,24066.0,24024.0,303.0,3,21
5,2024-07-15,SHORT,24060.0,08:52:00,24111.0,24061.0,417.0,3,21
6,2024-07-16,LONG,23884.0,08:50:00,23874.0,23825.0,327.0,3,21
7,2024-07-18,SHORT,23256.0,09:02:00,23381.0,23279.0,284.0,3,14
8,2024-07-19,SHORT,23086.0,08:50:00,23178.0,23094.0,-210.0,3,10
9,2024-07-22,SHORT,22845.0,08:48:00,22905.0,22850.0,228.0,3,14
10,2024-07-23,LONG,22623.0,08:54:00,22621.0,22572.0,375.0,3,21
11,2024-07-29,LONG,22491.0,08:53:00,22483.0,22412.0,-200.0,3,10
12,2024-07-30,LONG,21992.0,08:51:00,21978.0,21913.0,238.0,3,14
13,2024-07-31,SHORT,22076.0,09:01:00,22115.0,22028.0,-163.0,3,9
14,2024-08-01,SHORT,22677.0,09:01:00,22728.0,22680.0,396.0,3,21
15,2024-08-02,SHORT,21918.0,08:49:00,21998.0,21906.0,-210.0,3,10
16,2024-08-05,SHORT,20535.0,08:48:00,20740.0,20536.0,484.0,3,14
17,2024-08-06,LONG,20616.0,08:49:00,20555.0,20393.0,-154.0,3,12
18,2024-08-07,LONG,20626.0,08:48:00,20604.0,20488.0,208.0,3,14
19,2024-08-08,LONG,20764.0,08:56:00,20697.0,20551.0,-10.0,3,10
20,2024-08-09,LONG,21352.0,08:52:00,21310.0,21014.0,38.0,3,11
21,2024-08-12,LONG,21776.0,09:16:00,21775.0,21595.0,250.0,3,14
22,2024-08-13,LONG,21880.0,08:48:00,21861.0,21812.0,-252.0,3,15
23,2024-08-14,LONG,22151.0,09:43:00,22142.0,21964.0,-660.0,3,8
24,2024-08-15,LONG,22061.0,08:51:00,22052.0,21984.0,-130.0,3,12
25,2024-08-16,LONG,22375.0,08:58:00,22354.0,22295.0,-339.0,3,8
26,2024-08-19,LONG,22450.0,08:53:00,22445.0,22395.0,-414.0,3,12
27,2024-08-20,LONG,22564.0,08:50:00,22559.0,22528.0,-315.0,3,12
28,2024-08-21,LONG,22311.0,08:48:00,22310.0,22261.0,-399.0,3,12
29,2024-08-22,SHORT,22231.0,08:51:00,22276.0,22228.0,306.0,3,21
30,2024-08-23,SHORT,21918.0,08:48:00,21985.0,21925.0,-160.0,3,10
31,2024-08-26,LONG,22290.0,08:48:00,22288.0,22233.0,248.0,3,14
32,2024-08-27,SHORT,22083.0,08:48:00,22125.0,22084.0,339.0,3,21
33,2024-08-28,LONG,22188.0,09:00:00,22186.0,22103.0,-208.0,3,10
34,2024-08-29,LONG,21970.0,08:49:00,21967.0,21885.0,218.0,3,14
35,2024-08-30,SHORT,22288.0,08:52:00,22338.0,22287.0,212.0,3,14
36,2024-09-02,SHORT,22307.0,08:50:00,22348.0,22311.0,-345.0,3,12
37,2024-09-03,SHORT,22199.0,08:48:00,22218.0,22201.0,-96.0,3,15
38,2024-09-04,SHORT,21164.0,08:48:00,21277.0,21165.0,38.0,3,11
39,2024-09-05,SHORT,21276.0,08:50:00,21315.0,21272.0,-156.0,3,15
40,2024-09-06,LONG,21228.0,08:53:00,21225.0,21155.0,-172.0,3,10
41,2024-09-09,LONG,20861.0,09:01:00,20787.0,20610.0,230.0,3,14
42,2024-09-10,SHORT,21238.0,08:48:00,21257.0,21225.0,-171.0,3,12
43,2024-09-11,SHORT,21062.0,08:56:00,21107.0,21056.0,98.0,3,12
44,2024-09-12,SHORT,21554.0,09:01:00,21635.0,21564.0,260.0,3,14
45,2024-09-13,SHORT,21718.0,09:18:00,21799.0,21717.0,-149.0,3,10
46,2024-09-16,SHORT,21823.0,08:51:00,21853.0,21810.0,309.0,3,21
47,2024-09-18,LONG,21762.0,08:53:00,21758.0,21718.0,360.0,3,21
48,2024-09-19,SHORT,21753.0,08:48:00,21796.0,21752.0,294.0,3,21
49,2024-09-20,LONG,22362.0,08:49:00,22353.0,22303.0,-144.0,3,18
50,2024-09-23,LONG,22323.0,08:49:00,22316.0,22273.0,-225.0,3,14
51,2024-09-24,SHORT,22272.0,08:48:00,22318.0,22278.0,-225.0,3,15
52,2024-09-25,SHORT,22810.0,08:55:00,22836.0,22805.0,330.0,3,21
53,2024-09-26,SHORT,23019.0,09:02:00,23052.0,23010.0,-297.0,3,12
54,2024-09-27,SHORT,23132.0,08:56:00,23192.0,23140.0,78.0,3,12
55,2024-09-30,LONG,22702.0,08:48:00,22698.0,22654.0,-168.0,3,18
56,2024-10-01,LONG,22340.0,08:49:00,22304.0,22239.0,232.0,3,14
57,2024-10-04,SHORT,22276.0,08:48:00,22372.0,22292.0,-387.0,3,8
58,2024-10-07,SHORT,22550.0,08:48:00,22586.0,22560.0,-315.0,3,12
59,2024-10-08,SHORT,22582.0,08:48:00,22618.0,22583.0,354.0,3,21
60,2024-10-09,LONG,22800.0,08:52:00,22785.0,22763.0,387.0,3,21
61,2024-10-11,SHORT,22830.0,08:48:00,22845.0,22819.0,-135.0,3,12
62,2024-10-14,LONG,23012.0,08:48:00,23006.0,22971.0,-345.0,3,12
63,2024-10-15,SHORT,23119.0,08:48:00,23168.0,23113.0,-124.0,3,10
64,2024-10-16,SHORT,22866.0,08:57:00,22900.0,22868.0,-303.0,3,12
65,2024-10-17,SHORT,23143.0,08:49:00,23174.0,23135.0,366.0,3,21
66,2024-10-18,SHORT,23784.0,08:54:00,23842.0,23795.0,384.0,3,21
67,2024-10-21,SHORT,23777.0,08:52:00,23837.0,23775.0,202.0,3,14
68,2024-10-22,SHORT,23507.0,08:57:00,23567.0,23511.0,270.0,3,14
69,2024-10-24,SHORT,23318.0,08:48:00,23391.0,23324.0,-318.0,3,8
70,2024-10-25,SHORT,23252.0,08:49:00,23307.0,23258.0,-414.0,3,12
71,2024-10-28,SHORT,23634.0,08:48:00,23660.0,23628.0,321.0,3,21
72,2024-10-30,LONG,23106.0,08:50:00,23102.0,23064.0,-171.0,3,15
73,2024-11-01,SHORT,22350.0,08:48:00,22407.0,22345.0,224.0,3,14
74,2024-11-06,SHORT,23136.0,08:48:00,23273.0,23116.0,236.0,3,14
75,2024-11-07,SHORT,23130.0,08:48:00,23191.0,23124.0,-104.0,3,12
76,2024-11-08,LONG,23794.0,08:48:00,23793.0,23746.0,-387.0,3,12
77,2024-11-11,LONG,23605.0,08:49:00,23585.0,23537.0,-453.0,3,12
78,2024-11-12,LONG,23068.0,08:49:00,23062.0,22985.0,290.0,3,14
79,2024-11-14,SHORT,22779.0,08:57:00,22846.0,22773.0,-300.0,3,8
80,2024-11-15,LONG,22743.0,08:48:00,22738.0,22683.0,252.0,3,14
81,2024-11-18,LONG,22685.0,08:49:00,22676.0,22615.0,276.0,3,14
82,2024-11-19,LONG,22667.0,08:51:00,22649.0,22611.0,324.0,3,21
83,2024-11-20,LONG,22938.0,08:49:00,22930.0,22892.0,-375.0,3,12
84,2024-11-21,SHORT,22633.0,08:49:00,22679.0,22644.0,333.0,3,21
85,2024-11-22,LONG,22840.0,08:50:00,22818.0,22781.0,150.0,3,18
86,2024-11-25,SHORT,23215.0,08:51:00,23285.0,23222.0,232.0,3,14
87,2024-11-28,LONG,22361.0,08:49:00,22345.0,22300.0,-259.0,3,14
88,2024-12-02,LONG,22561.0,08:48:00,22540.0,22498.0,345.0,3,21
89,2024-12-03,SHORT,23146.0,08:48:00,23181.0,23134.0,405.0,3,21
90,2024-12-04,SHORT,23164.0,08:48:00,23216.0,23165.0,212.0,3,14
91,2024-12-05,LONG,23284.0,08:49:00,23279.0,23243.0,48.0,3,18
92,2024-12-09,LONG,23245.0,08:56:00,23241.0,23183.0,108.0,3,12
93,2024-12-10,LONG,23281.0,09:03:00,23274.0,23178.0,-114.0,3,12
94,2024-12-11,LONG,22929.0,09:07:00,22921.0,22863.0,-47.0,3,10
95,2024-12-12,LONG,23044.0,08:48:00,23042.0,23003.0,306.0,3,21
96,2024-12-13,SHORT,22955.0,08:52:00,22999.0,22958.0,-363.0,3,12
97,2024-12-16,SHORT,23195.0,08:50:00,23235.0,23195.0,-339.0,3,12
98,2024-12-17,LONG,23139.0,08:48:00,23134.0,23090.0,-393.0,3,12
99,2024-12-18,LONG,22969.0,09:00:00,22957.0,22922.0,-381.0,3,12
100,2024-12-19,SHORT,22725.0,08:51:00,22779.0,22727.0,-261.0,3,8
101,2024-12-23,LONG,22956.0,08:48:00,22955.0,22897.0,19.0,3,11
102,2024-12-24,SHORT,23415.0,08:49:00,23450.0,23414.0,369.0,3,21
103,2024-12-25,SHORT,23327.0,08:49:00,23342.0,23323.0,93.0,3,18
104,2024-12-26,SHORT,23335.0,08:51:00,23368.0,23335.0,-297.0,3,12
105,2024-12-27,LONG,23206.0,08:50:00,23205.0,23152.0,234.0,3,14
106,2024-12-30,LONG,23236.0,08:50:00,23234.0,23188.0,333.0,3,21
107,2024-12-31,LONG,23037.0,08:58:00,23036.0,22983.0,-261.0,3,8
108,2025-01-03,LONG,22972.0,08:52:00,22970.0,22913.0,284.0,3,14
109,2025-01-06,LONG,23279.0,08:48:00,23263.0,23218.0,330.0,3,21
110,2025-01-07,SHORT,23898.0,09:04:00,23993.0,23900.0,208.0,3,14
111,2025-01-08,LONG,23579.0,08:49:00,23572.0,23540.0,-333.0,3,12
112,2025-01-09,LONG,23317.0,08:50:00,23304.0,23250.0,244.0,3,14
113,2025-01-10,SHORT,23050.0,09:00:00,23087.0,23025.0,-210.0,3,8
114,2025-01-14,SHORT,22595.0,08:49:00,22650.0,22576.0,-166.0,3,9
115,2025-01-15,SHORT,22702.0,08:54:00,22754.0,22700.0,82.0,3,12
116,2025-01-16,SHORT,23020.0,08:51:00,23075.0,23022.0,-134.0,3,10
117,2025-01-17,SHORT,23237.0,08:58:00,23304.0,23241.0,254.0,3,14
118,2025-01-20,SHORT,23229.0,08:48:00,23274.0,23233.0,-369.0,3,12
119,2025-01-21,SHORT,23383.0,08:50:00,23430.0,23387.0,315.0,3,21
120,2025-01-22,LONG,23631.0,08:48:00,23613.0,23589.0,-351.0,3,12
121,2025-02-03,LONG,22730.0,08:51:00,22720.0,22550.0,33.0,3,11
122,2025-02-04,SHORT,22900.0,08:48:00,22947.0,22897.0,294.0,3,21
123,2025-02-05,SHORT,23067.0,08:51:00,23106.0,23067.0,-333.0,3,12
124,2025-02-06,SHORT,23327.0,08:52:00,23370.0,23328.0,-219.0,3,14
125,2025-02-07,LONG,23324.0,08:54:00,23315.0,23276.0,294.0,3,21
126,2025-02-10,SHORT,23297.0,08:48:00,23333.0,23298.0,-315.0,3,12
127,2025-02-11,LONG,23416.0,08:50:00,23411.0,23383.0,330.0,3,21
128,2025-02-12,LONG,23446.0,08:49:00,23445.0,23422.0,336.0,3,21
129,2025-02-13,SHORT,23422.0,08:48:00,23455.0,23419.0,369.0,3,21
130,2025-02-17,LONG,23330.0,08:49:00,23326.0,23281.0,333.0,3,21
131,2025-02-18,SHORT,23538.0,08:49:00,23582.0,23538.0,354.0,3,21
132,2025-02-19,LONG,23609.0,08:49:00,23600.0,23560.0,306.0,3,21
133,2025-02-20,LONG,23548.0,08:52:00,23544.0,23496.0,-195.0,3,15
134,2025-02-21,SHORT,23527.0,08:48:00,23567.0,23529.0,-147.0,3,18
135,2025-02-24,SHORT,23506.0,08:48:00,23550.0,23500.0,-3.0,3,18
136,2025-02-25,LONG,23258.0,08:51:00,23249.0,23202.0,-241.0,3,14
137,2025-02-26,LONG,23168.0,08:56:00,23164.0,23133.0,-309.0,3,12
138,2025-02-27,LONG,23415.0,08:51:00,23414.0,23376.0,-153.0,3,15
139,2025-03-03,SHORT,22646.0,08:59:00,22745.0,22641.0,-224.0,3,10
140,2025-03-04,SHORT,22214.0,08:49:00,22276.0,22200.0,-285.0,3,8
141,2025-03-05,LONG,22726.0,08:53:00,22713.0,22637.0,336.0,3,14
142,2025-03-06,SHORT,22958.0,08:48:00,23018.0,22959.0,208.0,3,14
143,2025-03-07,LONG,22554.0,08:49:00,22537.0,22488.0,396.0,3,21
144,2025-03-10,LONG,22515.0,08:55:00,22495.0,22448.0,-282.0,3,15
145,2025-03-12,SHORT,22061.0,08:48:00,22106.0,22048.0,-234.0,3,8
146,2025-03-13,LONG,22454.0,08:48:00,22447.0,22415.0,-333.0,3,12
147,2025-03-14,SHORT,22080.0,08:49:00,22131.0,22076.0,224.0,3,14
148,2025-03-17,LONG,22230.0,08:50:00,22229.0,22159.0,-312.0,3,8
149,2025-03-18,SHORT,22358.0,08:50:00,22383.0,22357.0,309.0,3,21
150,2025-03-19,SHORT,22209.0,08:59:00,22249.0,22203.0,129.0,3,18
151,2025-03-20,SHORT,22219.0,08:48:00,22247.0,22220.0,-120.0,3,15
152,2025-03-21,LONG,22341.0,08:51:00,22329.0,22293.0,-195.0,3,15
153,2025-03-24,LONG,22345.0,08:48:00,22328.0,22289.0,-147.0,3,18
154,2025-03-25,LONG,22371.0,08:49:00,22356.0,22328.0,51.0,3,18
155,2025-03-26,LONG,22419.0,08:48:00,22415.0,22387.0,-288.0,3,12
156,2025-03-27,LONG,22050.0,08:48:00,22048.0,22013.0,-321.0,3,12
157,2025-03-28,LONG,21780.0,08:51:00,21779.0,21720.0,-144.0,3,10
158,2025-03-31,LONG,20976.0,08:48:00,20947.0,20854.0,-62.0,3,10
159,2025-04-01,SHORT,20943.0,08:49:00,21020.0,20934.0,-138.0,3,12
160,2025-04-02,LONG,21321.0,08:51:00,21315.0,21260.0,-282.0,3,8
161,2025-04-08,SHORT,18495.0,08:52:00,18643.0,18506.0,216.0,3,14
162,2025-04-09,LONG,17964.0,08:52:00,17957.0,17839.0,151.0,3,11
163,2025-04-11,SHORT,18565.0,09:01:00,18710.0,18553.0,444.0,3,14
164,2025-04-14,SHORT,19750.0,08:52:00,19846.0,19777.0,232.0,3,14
165,2025-04-15,LONG,19600.0,08:53:00,19597.0,19542.0,-154.0,3,10
166,2025-04-17,LONG,19300.0,08:52:00,19261.0,19223.0,-138.0,3,18
167,2025-04-21,SHORT,19289.0,08:51:00,19367.0,19331.0,162.0,3,18
168,2025-04-22,SHORT,18929.0,08:52:00,18970.0,18927.0,345.0,3,21
169,2025-04-23,SHORT,19190.0,08:48:00,19255.0,19199.0,-156.0,3,10
170,2025-04-24,SHORT,19615.0,08:48:00,19658.0,19620.0,-186.0,3,15
171,2025-04-28,SHORT,19975.0,08:48:00,19985.0,19958.0,-90.0,3,12
172,2025-04-29,LONG,20001.0,08:50:00,19998.0,19976.0,333.0,3,21
173,2025-04-30,SHORT,20076.0,08:50:00,20107.0,20079.0,-279.0,3,12
174,2025-05-02,LONG,20508.0,08:48:00,20504.0,20468.0,297.0,3,21
175,2025-05-05,LONG,20789.0,08:54:00,20788.0,20738.0,-402.0,3,12
176,2025-05-06,LONG,20221.0,08:58:00,20220.0,20150.0,260.0,3,14
177,2025-05-07,LONG,20485.0,08:49:00,20477.0,20428.0,390.0,3,21
178,2025-05-08,SHORT,20454.0,08:48:00,20497.0,20460.0,-357.0,3,12
179,2025-05-09,LONG,20683.0,09:01:00,20675.0,20627.0,-228.0,3,15
180,2025-05-12,LONG,21035.0,08:48:00,21027.0,20981.0,-411.0,3,12
181,2025-05-13,LONG,21444.0,08:48:00,21440.0,21407.0,357.0,3,21
182,2025-05-14,LONG,21695.0,08:48:00,21692.0,21658.0,-147.0,3,15
183,2025-05-15,SHORT,21772.0,08:48:00,21806.0,21757.0,357.0,3,21
184,2025-05-16,SHORT,21745.0,08:48:00,21785.0,21754.0,366.0,3,21
185,2025-05-19,LONG,21715.0,08:52:00,21712.0,21654.0,-146.0,3,10
186,2025-05-20,SHORT,21733.0,08:54:00,21772.0,21739.0,354.0,3,21
187,2025-05-21,LONG,21624.0,09:03:00,21609.0,21549.0,200.0,3,14
188,2025-05-22,LONG,21529.0,08:54:00,21517.0,21457.0,-168.0,3,10
189,2025-05-23,LONG,21596.0,08:50:00,21579.0,21551.0,-147.0,3,18
190,2025-05-26,SHORT,21431.0,09:01:00,21541.0,21445.0,208.0,3,14
191,2025-05-27,SHORT,21392.0,09:00:00,21437.0,21400.0,441.0,3,21
192,2025-05-28,LONG,21464.0,08:50:00,21460.0,21413.0,-189.0,3,18
193,2025-05-29,LONG,21574.0,08:52:00,21573.0,21506.0,-98.0,3,12
194,2025-06-02,LONG,21027.0,09:00:00,21022.0,20955.0,-176.0,3,10
195,2025-06-03,LONG,21061.0,08:49:00,21055.0,21012.0,351.0,3,21
196,2025-06-04,LONG,21298.0,08:48:00,21297.0,21274.0,-111.0,3,15
197,2025-06-05,SHORT,21569.0,08:48:00,21612.0,21571.0,-168.0,3,15
198,2025-06-06,SHORT,21551.0,09:01:00,21606.0,21550.0,-140.0,3,10
199,2025-06-09,LONG,21714.0,08:48:00,21709.0,21658.0,266.0,3,14
200,2025-06-11,SHORT,22280.0,08:48:00,22310.0,22279.0,-270.0,3,12
201,2025-06-12,SHORT,22302.0,08:49:00,22329.0,22295.0,348.0,3,21
202,2025-06-16,SHORT,22016.0,08:48:00,22061.0,22018.0,432.0,3,21
203,2025-06-17,LONG,22178.0,08:48:00,22177.0,22130.0,333.0,3,21
204,2025-06-20,LONG,21690.0,09:02:00,21680.0,21627.0,-2.0,3,12
205,2025-06-23,SHORT,21353.0,08:48:00,21398.0,21338.0,248.0,3,14
206,2025-06-24,LONG,21831.0,08:59:00,21830.0,21764.0,5.0,3,11
207,2025-06-25,SHORT,22123.0,08:48:00,22149.0,22105.0,300.0,3,21
208,2025-06-26,LONG,22189.0,08:48:00,22185.0,22160.0,-132.0,3,15
209,2025-06-27,LONG,22210.0,08:48:00,22205.0,22178.0,-288.0,3,12
210,2025-06-30,SHORT,22194.0,08:51:00,22257.0,22185.0,22.0,3,11
211,2025-07-01,SHORT,22207.0,08:52:00,22225.0,22192.0,-162.0,3,12
212,2025-07-03,LONG,22591.0,08:49:00,22574.0,22546.0,351.0,3,21
213,2025-07-04,SHORT,22713.0,09:01:00,22770.0,22711.0,224.0,3,14
